site,block,treatment,year,ev.blade,ev.litter,ev.infl,ev.rhizome,ev.roots,ev.dead.sheath,ev.decomp.sheath,ev.tussockom,cb.blade,cb.litter,cb.sheath,cb.infl,cb.rhizome,cb.liveroots,cb.deadroots,bn.leaves,bn.newstems,bn.oldstem,bn.below,bn.infl,sp.newstem,sp.leaves,sp.oldstem,vv.newgrowth,vv.oldgrowth,vv.infl,ct.newgrowth,ct.oldgrowth,ct.dead,ap.newgrowth,ap.oldgrowth,lp.newgrowth.leaves,lp.newgrowth.stems,lp.oldgrowth.leaves,lp.oldgrowth.stems,lp.dead,lp.infl,lp.below,rc.above,rc.litter,rc.below,rc.infl,pf.above,pf.below,pf.litter,fine.roots,coarse.roots,moss ,lichen,fungi,evergr.litter,decid.litter
S,0,C,2018,0.1,1.5,0,0,0,0,34.4,36.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.7,0,0,0,0,0,0,4.4,0.9,7.6,22.9,1.2,1.3,0,2.3,2.1,0.7,0,0,0,0,33.8,11.8,54.1,0,0,0,1.2
S,1,C,2018,3.9,15.7,0,0,0,82.8,54.3,134.7,0,0,0,0,0,0,0,7.5,1.9,29.9,0,2.6,0,0,0,0,1.1,0,0,0,0,0,0,6.7,2.9,3.7,23,0,3.4,0,0,0,0,0,0.4,0,0,19.3,10.5,7.7,0,0,0,2.3
S,2,C,2018,5,61.5,0,0.5,0,31.3,20.6,14,0,0,0,0,0,0,0,3.2,1.9,4.6,0,1,0,0,0,0,0,0,0,0,0,0,0,1.9,0.4,0,4.6,0,0.8,0,0,0,0,0,0,0,0,1.9,0.2,0.5,0,0,0,1.5
S,3,C,2018,8.6,82.3,0,6,0.9,47.1,8.2,4.8,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0.9,3.9,13.6,1.8,0.7,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0
S,4,C,2018,1.6,4.5,0,0.7,1.1,0,5,0,0.8,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.1,3.9,2.6,0,0,0,0,0,0,0,11.6,6.9,3.2,1,0.5,31.5,1.6,0,0,0.2
S,0,CX,2018,0.1,2.2,0,1.2,0,0.4,1.4,0.7,0.9,3,0.2,0.1,0.5,0,0,4.6,0,22.6,0,2.3,0,0,0,0.1,1.7,0,0,0,0,0,0,2.8,0.6,6.4,21.6,0.7,0.5,2.3,3,1.7,1.5,0,0,0,0,34.2,50.6,11.4,0,0,0.2,4.1
S,1,CX,2018,2.1,17.3,0.1,0,0,0,49.9,5.7,0,6.7,0,0,0,0,0,4.7,0,29.8,0,0.5,0,0,0,0.7,0.6,0,0,0,0,0,0,1.1,0.3,1,5.2,1.2,0.3,0,0.2,0,0,0,2.9,23.9,4.4,21,15.5,10.7,0,0,0,3
S,2,CX,2018,5,35.3,0.6,2.2,0.4,25.8,221.1,102.6,0.3,0.5,1.6,0,0,0,0,0.1,0,0.1,0,0.2,0,0,0,0.1,0.4,0,0,0,0,0,0,1.9,0.3,7.1,22.7,0,1.7,4.3,0.5,0,0.2,0,0,0,0,6,5.7,3.2,0,0,0,0.5
S,3,CX,2018,0,3.5,0,0,0,0,58.5,42.6,0,0,0,0,0,0,0,2.6,0,9.5,0,0,0,0,0,1.4,0.4,0,0,0,0,0,0,4.4,2.4,0.2,8.2,2.2,0.7,0,1.4,0.7,0.2,0,0,0,0,11.1,24.2,28.5,0,0,0,0
S,4,CX,2018,1.1,5.1,0,0.2,0.3,6.6,2.1,30.6,0,0.1,0,0,0,0,0,1.9,0.1,14.5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,1.8,0.3,10.6,16.8,1,0.6,0,0,0,0,0,0,0,0,0.1,0.5,7.5,0,0,0,0
