NUM,CALL,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.4,3.5,4.1,4.2,4.3,4.4,5.1,5.2,5.3,5.4,5.5,6.1,6.2,6.3,6.4,7.1,7.2,7.3,7.4,7.5,8.1,8.2,8.3,8.4,9.1,9.2,9.3,9.4,9.5,,,,,,
1,CALCAN,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,2,6,,,,,,,,,
2,ANDPOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BETNAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CASTET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CARBIG,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
6,EMPNIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ERIVAG,10,5,9,3,5,3,2,2,2,6,3,2,1,2,5,2,,,3,7,,,1,9,6,,1,7,3,3,,1,3,8,1,,2,1,2,1,3,,,,,,
8,LEDPAL,,1,,,,,,1,,,5,,,1,2,2,3,2,4,2,,2,3,,,,,,,,,2,,,,,,,,,,,,,,,
9,PETFRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,RUBCHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,SALPUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,VACVIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,DEAD,2,3,,,,,2,1,,2,5,,1,,3,7,,,1,4,,,,1,5,,,,2,,,,2,1,,,,3,,,,,,,,,
17,LITTER,,1,1,,,,1,,,,1,1,1,1,,1,1,1,,,1,1,,,,1,1,,,1,,1,,,,1,1,,,1,,,,,,,
18,TUSSOCK,1,1,,1,1,1,,1,1,1,,,,,1,,,,1,1,,,,1,1,,,1,1,,,,1,1,,,,,1,,1,,,,,,
19,MOSS,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,LICHEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,VOLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
22,BARE,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
23,FRAME,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,,,,,,
24,MAX,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
25,MAXSPP,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
26,GROUND,62,86,84,74,78,57,90,86,87,65,87,86,87,88,85,82,87,86,71,64,86,89,86,64,63,83,85,69,66,82,75,84,67,68,76,78,85,72,62,75,82,,,,,,
27,CANOPY,16,37,46,37,29,17,43,31,24,20,32,19,16,31,33,34,8,12,20,20,0,14,7,16,16,0,15,16,22,32,0,33,11,11,16,0,26,33,19,20,38,,,,,,
28,SPP,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,16,7,0,8,8,7,7,0,5,7,7,7,0,7,1,7,7,0,7,1,7,7,7,,,,,,
