NUM,CALL,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.4,3.5,4.1,4.2,4.3,4.4,5.1,5.2,5.3,5.4,5.5,6.1,6.2,6.3,6.4,7.1,7.2,7.3,7.4,7.5,8.1,8.2,8.3,8.4,9.1,9.2,9.3,9.4,9.5
1,CALCAN,,1,,,1,,,,,,,,,,,,,1,,3,,,,,,,,,,1,,,,,,,,,,,
2,ANDPOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
3,BETNAN,,1,2,,,,,,,,,,,,,,,,,11,,,,,,,,1,,,,,5,,,,3,4,,,
4,CASTET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CARBIG,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,
6,EMPNIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ERIVAG,,,,,1,3,,,,4,1,,,5,7,1,2,,3,,,3,,15,,3,5,6,3,,2,2,5,3,3,,3,5,2,3,2
8,LEDPAL,11,1,3,4,1,2,2,3,6,1,,9,9,,2,22,10,4,,,4,5,9,,3,2,3,,,,2,3,,,2,2,,3,,4,5
9,PETFRI,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,RUBCHA,1,3,1,3,,2,3,2,,,2,,3,1,,,,2,,1,1,1,,,1,,2,,,1,2,1,,4,1,1,3,,2,,
11,SALPUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,VACVIT,,4,1,,,1,10,1,,,,3,,,,,3,,,,1,,2,,,,,,,,1,,,,,,3,,1,1,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,DEAD,,,,,,3,1,1,,,2,4,,1,1,,4,3,,,3,,,,,,,2,3,,,,6,5,,,3,,,,
17,LITTER,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,,1,1,,1,,1,1,,,1,,1,,1,1,,,,1,,,
18,TUSSOCK,,,,,,,,,,1,,,,,1,,,,1,,,1,,1,,1,1,1,,1,1,1,,,1,1,1,,1,1,1
19,MOSS,,,,,,,,1,,,,1,1,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,
20,LICHEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,VOLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,BARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,FRAME,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
24,MAX,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
25,MAXSPP,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
26,GROUND,80,78,86,86,85,80,79,85,90,88,74,86,86,84,88,79,77,84,77,79,74,82,79,88,80,75,76,89,92,79,67,71,92,78,69,79,81,80,NA,60,84
27,CANOPY,28,30,38,22,34,34,20,39,25,30,16,30,37,23,37,23,31,25,30,29,18,36,29,33,23,24,30,39,43,29,19,23,43,23,NA,33,48,35,14,11,38
28,SPP,8,3,3,7,1,7,16,8,8,5,10,16,8,7,7,8,7,8,7,3,16,7,8,7,5,7,7,7,7,1,7,8,3,16,NA,7,3,3,10,7,7
