NUM,CALL,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.4,3.5,4.1,4.2,4.3,4.4,5.1,5.2,5.3,5.4,5.5,6.1,6.2,6.3,6.4,7.1,7.2,7.3,7.4,7.5,8.1,8.2,8.3,8.4,9.1,9.2,9.3,9.4,9.5
1,CALCAN,2,3,2,3,2,,2,,3,,,,,2,2,4,1,1,2,3,2,,,4,2,4,2,3,4,,,4,1,2,,,,,1,,
2,ANDPOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BETNAN,6,,,,3,7,,,5,6,,,1,4,6,,,,4,2,2,1,1,5,,4,1,4,,7,,,,,,,11,,,,
4,CASTET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CARBIG,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,3,,,3,2
6,EMPNIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ERIVAG,,,,,,3,1,,,1,,,,,,,,,,,4,3,,2,9,3,,2,3,6,3,,9,7,6,4,3,8,11,6,
8,LEDPAL,2,5,3,3,,11,12,3,,5,5,2,,,4,8,5,,13,7,17,3,1,3,9,,2,1,,,5,,5,,,1,,,,,
9,PETFRI,,,,,1,,,,,2,1,,,,2,,,,3,,,,,3,,,1,3,,,,3,,,,1,,,,,1
10,RUBCHA,2,1,2,,4,,3,1,2,1,1,4,3,,2,4,2,4,,,,2,,2,,,2,,2,,,1,,,,,,,,1,1
11,SALPUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,VACVIT,,1,2,2,,1,1,2,1,1,,3,,3,,5,,2,,,,1,2,,4,2,,,,,,,,8,,,,,,,
13,MUSHRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,DEAD,1,3,3,1,,3,,,,,1,,,,1,,,1,,4,3,,7,,4,3,,,,3,,,4,8,,,,2,3,,
17,LITTER,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,,1,1,1,,,1
18,TUSSOCK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,,1,1,1,1,
19,MOSS,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,
20,LICHEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,VOLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,,
22,BARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
23,FRAME,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
24,MAX,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
25,MAXSPP,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
26,GROUND,56,68,71,70,76,72,67,69,69,66,67,71,74,71,70,68,71,75,72,67,78,73,73,78,76,74,73,81,70,66,63,86,89,75,64,87,88,89,67,81,81
27,CANOPY,44,40,28,33,37,52,35,20,25,25,24,25,30,28,39,22,23,27,44,21,39,30,30,55,36,36,31,45,29,38,20,38,42,37,19,35,58,36,21,40,41
28,SPP,3,1,1,1,3,3,7,8,3,3,9,8,3,3,3,1,1,1,3,1,7,7,3,3,7,1,3,3,7,3,7,1,1,1,7,5,3,7,1,7,5
