NUM,CALL,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.4,3.5,4.1,4.2,4.3,4.4,5.1,5.2,5.3,5.4,5.5,6.1,6.2,6.3,6.4,7.1,7.2,7.3,7.4,7.5,8.1,8.2,8.3,8.4,9.1,9.2,9.3,9.4,9.5
1,CALCAN,8,12,2,3,3,6,4,2,5,11,10,3,2,5,8,4,2,3,4,14,3,4,6,8,3,4,6,8,8,4,2,5,12,6,3,2,8,4,6,3,4
2,ANDPOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BETNAN,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,3,8,,,,5,2,,,6,7,,,
4,CASTET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CARBIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,EMPNIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ERIVAG,,,,,,1,,,,5,12,,,,9,1,,,7,5,,,,4,1,,,4,1,,,,4,,,,3,5,,,4
8,LEDPAL,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PETFRI,4,,,2,,3,,3,,2,,,4,3,2,,2,1,,,,3,1,,,1,2,,,2,2,1,,,3,1,,,1,,
10,RUBCHA,,,,,,,,,1,,,3,,,1,,,,2,2,,1,,5,4,1,,,2,,,,,5,,1,,,,2,2
11,SALPUL,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,4,,,3,1,10
12,VACVIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MUSHRO,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,DEAD,2,2,,,2,,1,1,1,,2,1,1,,,,,,1,3,1,2,1,,3,2,,,2,,1,1,,,1,,,2,1,,
17,LITTER,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,,1,,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,,1,1,1
18,TUSSOCK,,,,,,,,,,,1,,,,,1,,,1,1,1,,,,1,,,1,1,1,,,,1,,,,1,1,,
19,MOSS,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,1,,,,,,,,,1,
20,LICHEN,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,VOLE,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,1,1,,,,1,1,,,1,,,,
22,BARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,FRAME,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
24,MAX,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
25,MAXSPP,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
26,GROUND,84,82,80,78,77,84,82,82,82,88,79,83,84,89,90,72,88,87,62,75,71,91,88,86,75,95,91,89,82,92,90,91,90,85,95,92,86,70,101,95,98
27,CANOPY,22,19,9,17,14,34,22,12,20,52,36,30,26,31,50,22,33,22,22,40,19,50,22,45,39,40,59,69,47,46,51,71,60,50,34,70,58,27,66,16,81
28,SPP,9,1,1,9,1,1,1,9,1,1,1,1,9,11,1,1,1,1,7,1,1,1,9,1,3,1,1,3,1,1,1,1,1,3,1,11,1,1,3,9,1
