NUM,CALL,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.4,3.5,4.1,4.2,4.3,4.4,5.1,5.2,5.3,5.4,5.5,6.1,6.2,6.3,6.4,7.1,7.2,7.3,7.4,7.5,8.1,8.2,8.3,8.4,9.1,9.2,9.3,9.4,9.5
1,CALCAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ANDPOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BETNAN,,,,3,,,,1,4,,,3,,,,,,,,,,2,,,,1,,,,,,,,,,,3,,,,
4,CASTET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CARBIG,2,,,2,,6,,,,,2,2,,,,,3,,,1,4,,,,,,,,,,,,,,1,,,,,,
6,EMPNIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ERIVAG,9,7,5,,,7,5,2,,3,,,,1,,3,2,1,,2,,5,4,,3,3,2,,,3,5,2,,,2,2,,,,3,1
8,LEDPAL,6,2,4,2,2,3,11,,,11,17,3,2,,6,8,3,2,8,9,12,2,,3,4,1,,8,,,1,,11,,1,3,3,3,1,,
9,PETFRI,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
10,RUBCHA,,,,,1,,1,3,1,,1,2,,3,,,,3,1,,,,,,,,,1,2,2,,,,3,,,1,3,,,
11,SALPUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,VACVIT,,3,,1,,,,,1,,1,,1,1,,1,,,,,3,1,,,,1,,,,3,,,,,,,9,,,,
13,EPIANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,LIVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,DEAD,1,2,,,,1,5,,,3,2,2,2,,3,1,2,,4,4,1,2,2,2,3,,1,2,2,1,4,1,5,2,1,,,,,,3
17,LITTER,1,,,1,,1,1,1,1,1,1,1,1,1,,1,1,,,1,1,1,,1,1,,,1,1,1,,,1,1,1,,1,1,1,,
18,TUSSOCK,1,1,1,,,,,,,,,,,,,,,1,,,,,1,,1,1,1,,,,1,1,,,,1,,,,1,1
19,MOSS,,,,,1,1,,1,,1,,1,1,,1,1,1,,1,,,,,1,,,,1,1,1,,,1,,,,1,1,,,
20,LICHEN,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,VOLE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,BARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,FRAME,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77
24,MAX,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
25,MAXSPP,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
26,GROUND,83,66,72,63,69,86,68,64,64,81,72,69,67,65,70,70,67,62,76,68,64,66,66,72,67,65,62,73,65,65,66,59,67,65,76,60,71,63,69,65,67
27,CANOPY,37,35,29,21,12,48,24,20,26,33,31,31,21,9,19,28,24,12,22,19,21,39,28,21,27,21,22,20,12,38,30,11,21,20,34,21,19,12,11,15,18
28,SPP,7,7,8,3,8,7,7,7,3,8,8,3,16,10,16,8,5,7,16,7,8,16,16,8,7,5,19,8,16,16,16,7,8,16,16,7,10,10,9,7,16
