NUM,CALL,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.4,3.5,4.1,4.2,4.3,4.4,5.1,5.2,5.3,5.4,5.5,6.1,6.2,6.3,6.4,7.1,7.2,7.3,7.4,7.5,8.1,8.2,8.3,8.4,9.1,9.2,9.3,9.4,9.5
1,CALCAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ANDPOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,5,,,,1,,,,1
3,BETNAN,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,2,1
4,CASTET,2,,,,,,,,,1,,,1,,,,1,1,1,,1,,,,1,1,,,,,,,2,,2,1,15,4,,,
5,CARBIG,,3,2,3,,,2,1,1,1,1,2,6,,2,,,1,2,3,1,6,1,3,1,1,3,3,1,2,,2,,1,1,,,,2,,1
6,EMPNIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ERIVAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,LEDPAL,5,,,5,1,,,,6,,2,,1,3,,,1,,,6,3,,,,,,3,4,,,,,,,,1,1,,,4,
9,PETFRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,RUBCHA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
11,SALPUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,VACVIT,3,,,,,,,,1,,3,,2,,3,2,1,,,5,,,1,,4,3,,,,,,1,2,,,,2,6,,2,
13,PEDLAP,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,1,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,DEAD,3,6,3,,,2,3,3,,,2,3,,3,3,1,1,,,,4,,,2,5,6,2,,,3,,,3,,,,6,,,,
17,LITTER,,,,,,,,1,,,,,1,,,,1,,,,,1,,,,,,,1,1,,,,,,,1,1,,,1
18,TUSSOCK,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
19,MOSS,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,,1,1,1,1
20,LICHEN,,1,1,1,1,1,1,1,1,,,1,1,1,1,,1,,1,,1,,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1
21,VOLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,BARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,FRAME,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
24,MAX,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
25,MAXSPP,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26,GROUND,42,43,49,45,41,43,45,42,37,40,41,45,48,47,54,47,48,48,51,48,48,47,56,51,52,46,50,56,54,52,57,50,50,51,45,45,55,57,56,56,55
27,CANOPY,11,19,19,17,10,27,21,13,8,11,15,13,13,17,21,9,20,16,16,21,25,21,20,14,14,13,16,15,21,15,15,20,20,22,11,12,28,23,23,24,25
28,SPP,8,5,5,8,8,16,5,5,5,5,5,5,5,16,5,16,16,5,5,5,5,5,5,5,5,5,5,5,5,5,20,5,4,5,5,4,4,4,5,8,5
