NUM,CALL,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.4,3.5,4.1,4.2,4.3,4.4,5.1,5.2,5.3,5.4,5.5,6.1,6.2,6.3,6.4,7.1,7.2,7.3,7.4,7.5,8.1,8.2,8.3,8.4,9.1,9.2,9.3,9.4,9.5
1,CALCAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ANDPOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BETNAN,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,1,,,,,
4,CASTET,,,,,1,,,,1,,,1,2,,,,,,1,1,2,1,,1,,1,,2,3,,,,,,1,,1,,,,
5,CARBIG,,,,,,,,,,,,,2,,,,4,,,,,,,,,1,,,,,,,,,,2,1,,,1,2
6,EMPNIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ERIVAG,,,,,,8,,,,5,2,,,,7,3,,,2,,,,,,,,5,2,2,1,,,4,,1,,,1,2,3,
8,LEDPAL,1,1,,1,,,2,,,,1,,1,2,,3,,2,2,,2,3,3,,6,1,4,2,,,1,1,,2,3,,,1,1,2,2
9,PETFRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,RUBCHA,,,,,1,,,1,,,,,,,,,,,,1,1,,,,,,,,,1,1,1,,,,,1,,1,,
11,SALPUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,VACVIT,,,1,,1,,,,1,,,,,,,,,3,,,2,,3,2,3,2,,1,1,1,1,8,,,,,1,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,DEAD,4,3,,,2,2,2,,1,2,2,1,3,1,3,1,4,,10,5,,2,2,2,,5,2,1,,,2,,5,3,1,1,,2,4,1,1
17,LITTER,,1,1,1,1,,1,1,,,,1,1,,,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,
18,TUSSOCK,,,,,,1,,,,1,1,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,
19,MOSS,,,1,,,,1,,1,,,1,1,1,,,1,1,,,1,,,1,,,,,1,,1,,,1,1,1,1,,,1,
20,LICHEN,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
21,VOLE,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
22,BARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,FRAME,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
24,MAX,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
25,MAXSPP,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
26,GROUND,57,62,61,50,66,60,61,52,64,47,69,66,55,61,50,70,77,76,67,70,60,64,68,71,56,62,55,70,51,62,68,57,65,59,68,67,64,62,65,68,73
27,CANOPY,15,20,9,12,13,31,13,18,20,12,30,12,33,22,18,30,25,30,29,22,13,13,22,22,20,18,10,30,12,11,11,9,15,11,14,19,4,12,10,11,23
28,SPP,8,8,12,8,12,7,8,10,4,7,7,4,5,8,7,7,5,7,7,16,4,8,8,12,8,5,7,7,7,7,10,10,3,8,7,5,10,7,8,5,8
