NUM,CALL,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.4,3.5,4.1,4.2,4.3,4.4,5.1,5.2,5.3,5.4,5.5,6.1,6.2,6.3,6.4,7.1,7.2,7.3,7.4,7.5,8.1,8.2,8.3,8.4,9.1,9.2,9.3,9.4,9.5
1,CALCAN,,,,,,,,,,,,,,,,2,,,,,,,,,6,1,,,,,,2,,,1,2,,6,,,1
2,ANDPOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BETNAN,2,,,,1,,,,,2,,,,,,,,,,,,,,1,1,,,,,3,3,1,3,4,,,4,2,,,
4,CASTET,,,,,,,,,,,,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,
5,CARBIG,,1,,,,2,,1,1,,,6,,1,,1,,1,,,1,1,1,,3,,,,,,2,1,,,,1,,1,,,1
6,EMPNIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ERIVAG,3,2,2,5,7,,,1,5,1,1,4,5,1,2,,5,3,,,3,2,9,,,5,1,2,3,4,7,1,3,6,8,2,2,2,6,9,3
8,LEDPAL,1,,,,,,,,,,4,,,,,,,,4,,1,2,5,,3,,4,2,1,1,,4,1,2,,,3,,,2,
9,PETFRI,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,2,,,1,
10,RUBCHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,SALPUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,VACVIT,,,3,,,,,,2,,1,1,,2,,1,,1,,1,2,,2,2,1,,,3,2,,,,,,1,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,DEAD,1,2,1,2,1,1,1,,,3,6,,1,4,5,4,,,1,3,3,2,3,,5,,2,2,7,2,7,2,2,3,,2,2,3,7,,1
17,LITTER,,1,1,,1,,1,1,,1,1,,,,,1,,1,,1,1,,,1,1,1,,1,1,1,1,1,1,,1,1,1,,1,1,1
18,TUSSOCK,,,,1,,,,1,1,,,,1,,,,1,1,,,,,,,,,1,,,,,,,1,,,,,,,
19,MOSS,1,,1,,1,1,1,,,1,1,,,,1,1,,,,1,1,,,1,1,,,,,,,,1,,,,1,1,1,,1
20,LICHEN,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,VOLE,,,,,,,,,,,,1,,1,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,
22,BARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,FRAME,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
24,MAX,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
25,MAXSPP,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
26,GROUND,72,60,54,47,62,62,49,42,46,72,60,52,41,56,50,47,38,40,60,57,54,57,61,50,50,56,57,56,65,59,61,60,57,47,50,60,58,57,67,64,60
27,CANOPY,25,16,27,20,30,10,5,7,18,30,23,32,22,24,12,9,9,11,17,15,26,35,36,3,17,24,23,21,20,28,29,31,25,19,31,28,18,24,29,40,35
28,SPP,7,5,7,7,7,5,16,7,7,7,7,5,7,7,7,5,7,7,4,9,5,7,7,12,1,7,7,7,7,7,7,16,7,3,7,1,3,1,7,7,1
