site,block,treatment,year,spirea,andpol,betnan,carbig,castet,empnig,erivag,lichen,moss,petfri,ledpal,rubcha,salpul,vaculi,vacvit
S,0,C,2016,0,0,6,0,0,0,25,0,0,0,0,8,0,0,13
S,1,C,2016,0,0,2,0,0,0,39,0,1,0,15,3,0,0,0
S,2,C,2016,0,0,0,0,0,0,25,0,13,0,2,22,0,0,0
S,3,C,2016,0,0,0,0,0,0,31,0,0,0,5,2,0,0,0
S,4,C,2016,0,0,0,0,0,0,20,0,11,0,0,19,0,0,0
S,0,N,2016,0,0,9,0,0,0,22,0,7,0,15,13,0,0,0
S,1,N,2016,0,0,18,0,0,0,27,0,3,0,1,8,0,0,0
S,2,N,2016,0,0,9,0,0,0,29,0,8,0,14,0,0,0,0
S,3,N,2016,0,0,6,0,0,0,28,0,0,0,4,20,0,0,0
S,4,N,2016,0,0,12,0,0,0,23,0,11,0,8,14,0,0,0
S,0,NP,2016,0,0,7,0,0,0,23,0,0,0,21,9,0,0,0
S,1,NP,2016,0,0,8,0,0,0,20,0,4,0,12,3,0,0,0
S,2,NP,2016,0,0,9,0,0,0,16,0,3,0,12,11,0,0,0
S,3,NP,2016,0,0,0,0,0,0,15,0,15,0,0,3,0,0,0
S,4,NP,2016,0,0,2,0,0,0,35,0,0,0,2,1,0,0,0
S,0,P,2016,0,0,0,0,0,0,26,0,10,0,1,3,0,0,0
S,1,P,2016,0,0,0,0,0,0,32,0,4,0,6,9,0,0,0
S,2,P,2016,0,0,19,0,0,0,13,0,2,0,5,21,0,0,0
S,3,P,2016,0,0,4,0,0,0,34,0,0,0,1,7,0,0,0
S,4,P,2016,0,0,6,0,0,0,34,0,4,0,4,4,0,0,0
U,0,C,2016,0,0,0,20,0,0,1,4,33,0,13,5,0,0,4
U,1,C,2016,0,0,5,7,2,0,4,4,2,0,19,4,0,0,8
U,2,C,2016,0,0,8,4,1,0,20,1,14,0,19,2,0,0,5
U,3,C,2016,0,0,0,0,2,0,16,10,14,0,14,1,0,0,5
U,4,C,2016,0,0,0,0,3,0,36,0,7,0,9,5,0,0,1
U,0,N,2016,0,0,0,8,2,0,31,2,2,0,12,1,0,0,5
U,1,N,2016,0,0,2,0,0,0,13,13,16,0,10,4,0,0,5
U,2,N,2016,0,0,11,9,0,0,25,2,9,0,14,5,0,0,5
U,3,N,2016,0,0,4,0,0,0,30,1,0,0,18,13,0,0,6
U,4,N,2016,0,0,7,2,0,0,6,2,17,0,23,5,0,0,10
U,0,NP,2016,0,0,4,8,0,0,21,10,9,0,5,3,0,0,2
U,1,NP,2016,0,0,4,5,1,0,7,14,17,0,15,1,0,0,12
U,2,NP,2016,0,0,1,0,0,0,24,0,13,0,15,0,0,0,7
U,3,NP,2016,0,0,5,3,1,0,26,1,11,0,20,2,0,0,7
U,4,NP,2016,0,0,4,3,2,0,8,0,18,0,24,9,0,0,12
U,0,P,2016,0,0,6,7,5,0,10,2,15,0,10,5,0,0,3
U,1,P,2016,0,0,8,6,1,0,16,4,9,0,11,1,0,0,7
U,2,P,2016,0,0,1,2,2,0,2,0,40,0,16,14,0,0,6
U,3,P,2016,0,0,0,3,3,0,22,0,13,0,8,0,0,0,3
U,4,P,2016,0,0,0,0,0,0,23,0,17,0,8,0,0,0,3
S,0,C,2017,0,0,2,0,0,0,82,0,8,0,40,18,0,0,4
S,1,C,2017,0,0,22,4,0,0,108,0,9,1,34,21,0,0,9
S,2,C,2017,0,0,0,8,0,0,290,0,0,10,1,5,0,0,1
S,3,C,2017,0,0,19,18,0,0,137,1,6,2,23,19,0,4,9
S,4,C,2017,0,0,44,8,0,0,115,0,9,1,0,8,0,0,1
S,0,N,2017,0,0,9,3,0,0,181,0,5,0,41,13,0,0,1
S,1,N,2017,0,0,14,5,0,0,206,1,2,1,22,7,0,0,4
S,2,N,2017,0,0,23,1,0,0,299,0,0,7,16,4,0,0,3
S,3,N,2017,0,0,1,185,0,0,109,0,0,16,14,5,0,0,2
S,4,N,2017,0,0,18,7,0,0,128,0,9,4,19,18,0,0,1
S,0,NP,2017,0,0,0,0,0,0,243,0,6,2,4,0,0,0,2
S,1,NP,2017,0,0,6,31,0,0,141,0,13,5,23,6,0,0,2
S,2,NP,2017,0,0,16,42,0,0,228,0,15,0,5,4,0,0,3
S,3,NP,2017,0,0,55,151,0,0,37,0,0,0,6,29,0,0,3
S,4,NP,2017,0,0,11,16,0,0,107,0,16,0,8,0,0,0,4
S,0,P,2017,0,0,12,27,0,0,81,0,0,1,41,19,0,0,7
S,1,P,2017,0,0,12,0,0,0,195,0,1,12,9,17,0,0,1
S,2,P,2017,0,0,7,34,0,0,123,0,0,3,12,6,0,0,5
S,3,P,2017,0,0,4,194,0,0,13,0,5,9,17,11,0,0,2
S,4,P,2017,0,0,0,0,0,0,175,0,14,0,10,4,0,0,12
U,0,C,2017,0,0,0,8,0,0,67,3,11,0,20,1,0,0,11
U,1,C,2017,0,0,6,22,0,0,23,15,28,0,28,0,0,0,15
U,2,C,2017,0,0,8,15,0,0,32,0,28,0,26,2,0,0,11
U,3,C,2017,0,0,5,6,7,0,1,2,38,0,29,15,0,0,16
U,4,C,2017,0,0,5,1,3,0,43,3,22,0,37,0,0,0,14
U,0,N,2017,0,0,7,35,0,0,0,19,8,0,33,3,0,0,11
U,1,N,2017,0,0,5,1,5,0,2,14,17,0,21,3,0,0,12
U,2,N,2017,0,0,24,9,1,0,33,0,32,0,33,13,0,0,8
U,3,N,2017,0,0,4,3,4,0,67,11,18,0,22,6,0,0,15
U,4,N,2017,0,0,6,0,4,0,47,10,26,0,21,4,0,0,9
U,0,NP,2017,0,0,6,24,2,0,12,10,18,0,24,17,0,0,21
U,1,NP,2017,0,0,7,7,1,0,34,16,10,0,20,14,0,0,11
U,2,NP,2017,0,0,3,15,0,0,64,10,7,0,19,1,0,0,4
U,3,NP,2017,0,0,5,17,1,0,61,1,16,3,20,4,0,0,14
U,4,NP,2017,0,0,15,1,3,0,76,1,15,0,15,4,0,0,9
U,0,P,2017,0,0,20,10,1,0,19,8,22,0,19,5,0,0,14
U,1,P,2017,0,0,5,4,0,0,57,0,16,0,27,0,0,0,10
U,2,P,2017,0,0,1,10,0,0,46,3,20,0,35,5,0,0,7
U,3,P,2017,0,0,6,2,0,0,66,0,25,0,26,2,0,0,9
U,4,P,2017,0,0,3,0,2,0,51,7,8,0,33,5,0,0,14
S,0,C,2018,0,0,2,0,0,0,28,1,4,0,33,13,0,0,7
S,1,C,2018,0,0,21,5,0,0,27,0,4,3,24,16,0,0,4
S,2,C,2018,0,0,6,9,0,0,53,0,5,8,3,4,0,0,1
S,3,C,2018,0,0,11,2,0,0,15,0,6,0,27,12,0,0,21
S,4,C,2018,0,0,13,3,0,0,48,0,0,1,16,3,0,0,1
S,0,N,2018,0,0,7,3,0,0,34,0,6,0,14,16,0,0,3
S,1,N,2018,0,0,8,5,0,0,49,0,1,0,22,12,0,0,5
S,2,N,2018,0,0,3,8,0,0,40,0,8,3,8,3,0,0,3
S,3,N,2018,0,0,0,11,0,1,38,0,0,2,0,7,0,0,1
S,4,N,2018,0,0,18,7,0,0,31,0,0,0,1,9,1,0,1
S,0,NP,2018,0,0,27,0,0,0,32,0,14,3,3,3,0,0,0
S,1,NP,2018,0,0,3,7,0,0,24,0,8,1,23,4,0,0,2
S,2,NP,2018,0,0,1,10,0,0,33,0,12,3,4,3,0,0,2
S,3,NP,2018,0,0,63,16,0,0,16,0,0,3,2,22,0,0,2
S,4,NP,2018,0,0,2,2,0,1,57,0,3,0,8,7,0,0,8
S,0,P,2018,0,0,13,6,0,0,20,0,0,0,27,11,0,0,5
S,1,P,2018,0,0,20,1,0,0,35,0,3,10,7,17,1,0,3
S,2,P,2018,0,0,13,7,0,0,29,0,1,9,6,4,0,0,9
S,3,P,2018,0,1,5,36,0,0,11,0,0,5,19,16,0,3,8
S,4,P,2018,0,0,0,0,0,1,17,0,10,0,9,2,1,0,5
U,0,C,2018,2,2,2,15,4,0,12,21,16,0,21,3,0,0,20
U,1,C,2018,0,0,3,12,5,0,3,19,32,0,16,3,0,0,16
U,2,C,2018,0,0,9,12,2,0,8,9,25,0,17,1,0,0,14
U,3,C,2018,0,1,8,3,13,0,11,6,27,1,25,15,0,0,15
U,4,C,2018,0,3,4,0,4,0,19,2,31,0,28,1,0,0,19
U,0,N,2018,0,1,3,16,3,0,10,26,4,0,24,6,0,0,14
U,1,N,2018,0,1,3,0,0,0,44,7,4,0,11,4,0,0,7
U,2,N,2018,0,2,13,3,1,0,21,1,21,1,20,10,0,0,16
U,3,N,2018,0,1,5,6,2,0,14,2,21,0,21,7,0,0,12
U,4,N,2018,0,4,9,0,2,0,18,7,22,0,15,6,0,2,8
U,0,NP,2018,0,1,13,0,11,0,15,9,3,0,21,15,0,0,14
U,1,NP,2018,0,2,0,1,1,0,22,15,10,0,15,3,0,0,5
U,2,NP,2018,0,1,16,10,1,0,24,3,4,0,24,2,0,0,16
U,3,NP,2018,0,0,6,11,4,6,21,5,13,3,17,3,0,0,19
U,4,NP,2018,0,1,11,0,0,0,19,3,7,1,32,16,0,0,9
U,0,P,2018,0,0,4,18,2,0,16,16,8,0,18,4,0,0,10
U,1,P,2018,1,0,5,0,2,0,43,3,3,0,17,0,0,0,5
U,2,P,2018,0,0,4,10,2,0,13,4,26,0,23,9,0,0,10
U,3,P,2018,0,0,0,3,4,0,26,3,15,1,18,0,0,0,11
U,4,P,2018,0,0,8,0,7,0,21,9,18,0,22,1,0,0,14
