site,block,treatment,year,thaw
S,0,C,2018,47
S,0,C,2018,39
S,0,C,2018,33
S,0,C,2018,35
S,0,C,2018,25
S,0,C,2018,26
S,0,C,2018,24
S,0,C,2018,24
S,0,C,2018,29
S,0,C,2018,34
S,1,C,2018,50
S,1,C,2018,55
S,1,C,2018,45
S,1,C,2018,40
S,1,C,2018,40
S,1,C,2018,50
S,1,C,2018,58
S,1,C,2018,50
S,1,C,2018,50
S,1,C,2018,53
S,2,C,2018,32
S,2,C,2018,52
S,2,C,2018,41
S,2,C,2018,37
S,2,C,2018,31
S,2,C,2018,42
S,2,C,2018,43
S,2,C,2018,30
S,2,C,2018,41
S,2,C,2018,40
S,3,C,2018,46
S,3,C,2018,35
S,3,C,2018,38
S,3,C,2018,39
S,3,C,2018,55
S,3,C,2018,43
S,3,C,2018,42
S,3,C,2018,57
S,3,C,2018,55
S,3,C,2018,53
S,4,C,2018,54
S,4,C,2018,61
S,4,C,2018,60
S,4,C,2018,48
S,4,C,2018,47
S,4,C,2018,40
S,4,C,2018,40
S,4,C,2018,47
S,4,C,2018,62
S,4,C,2018,60
S,0,N,2018,46
S,0,N,2018,36
S,0,N,2018,30
S,0,N,2018,55
S,0,N,2018,55
S,0,N,2018,35
S,0,N,2018,29
S,0,N,2018,28
S,0,N,2018,35
S,0,N,2018,29
S,1,N,2018,57
S,1,N,2018,44
S,1,N,2018,42
S,1,N,2018,35
S,1,N,2018,45
S,1,N,2018,66
S,1,N,2018,58
S,1,N,2018,36
S,1,N,2018,57
S,1,N,2018,43
S,2,N,2018,53
S,2,N,2018,42
S,2,N,2018,54
S,2,N,2018,66
S,2,N,2018,39
S,2,N,2018,67
S,2,N,2018,42
S,2,N,2018,53
S,2,N,2018,30
S,2,N,2018,60
S,3,N,2018,52
S,3,N,2018,60
S,3,N,2018,46
S,3,N,2018,30
S,3,N,2018,36
S,3,N,2018,36
S,3,N,2018,33
S,3,N,2018,41
S,3,N,2018,38
S,3,N,2018,40
S,4,N,2018,45
S,4,N,2018,34
S,4,N,2018,51
S,4,N,2018,53
S,4,N,2018,46
S,4,N,2018,62
S,4,N,2018,54
S,4,N,2018,53
S,4,N,2018,44
S,4,N,2018,49
S,0,NP,2018,48
S,0,NP,2018,43
